citekey,category,role,title,author,year,url,used_in,notes
artefact_claude_stopped_after_ngd_features_2026_02_18,primary_evidence,artefact,Claude transcript: stopped after NGD features,Internal artefact (user-provided),2026,,case-study;failure-taxonomy;requirements;demo-script,Local file: claude-stopped-after-ngd-features.md
artefact_codex_trace_jsonl_2026_02_18,primary_evidence,artefact,Tool trace: codex-trace.jsonl (JSONL),Internal artefact (user-provided),2026,,case-study;failure-taxonomy;requirements;demo-script,Local file: codex-trace.jsonl
artefact_floor_question_analysis_2026_02_19,primary_evidence,artefact,"Deep analysis: ""Do a peatland site survey on the forrest of Bowland""",Internal artefact (user-provided),2026,,case-study;failure-taxonomy;requirements;demo-script,Local file: peatland-bowland-floor-question-deep-analysis-2026-02-19.md
artefact_forensic_study_mcp_geo_2026_02_19,primary_evidence,artefact,Forensic and Methodological Deep Research Study for an MCP Geospatial Server,Internal artefact (user-provided),2026,,case-study;failure-taxonomy;requirements;demo-script,Local file: Forensic and Methodological Deep Research Study for an MCP Geospatial Server.md
mcp_spec,standard,protocol_spec,Model Context Protocol (MCP): Specification,Anthropic,2024,https://modelcontextprotocol.io/,requirements;demo-script;case-study,
mcp_spec_2025_11_25,standard,protocol_spec_revision,Model Context Protocol (MCP) Specification (Protocol revision: 2025-11-25),Model Context Protocol contributors,2025,https://modelcontextprotocol.io/specification/2025-11-25/,requirements;demo-script,
dcat3,standard,catalogue_metadata,Data Catalog Vocabulary (DCAT) --- Version 3,W3C Dataset Exchange Working Group,2023,https://www.w3.org/TR/vocab-dcat-3/,requirements;case-study,
prov_o,standard,provenance_model,PROV-O: The PROV Ontology,W3C Provenance Working Group,2013,https://www.w3.org/TR/prov-o/,requirements;case-study,
prov_dm,standard,provenance_model,PROV-DM: The PROV Data Model,W3C Provenance Working Group,2013,https://www.w3.org/TR/prov-dm/,requirements,
wilkinson_fair2016,principles,fair_data_principles,The FAIR Guiding Principles for Scientific Data Management and Stewardship,"Wilkinson, Mark D. and Dumontier, Michel and Aalbersberg, IJsbrand Jan and others",2016,https://www.nature.com/articles/sdata201618,requirements;case-study,
